Filename,Subgraph,Sentence
19.csv,<S> <H> Incoming Claims <POS> <T> Pending Claims <H> Incoming Claims <POS> <T> Required Settlement Rate <H> Pending Claims <POS> <T> Required Settlement Rate <H> Claims Settled <NEG> <T> Pending Claims <H> Productivity <POS> <T> Claims Settled <H> Time Available <POS> <T> Claims Settled <H> Required Settlement Rate <POS> <T> Time Pressure <H> Time Pressure <NEG> <T> Time per Claim <H> Time per Claim <NEG> <T> Productivity <H> Time per Claim <NEG> <T> Quality of investigation / negotiation / documentation <H> Time Pressure <POS> <T> Work Intensity <H> Work Intensity <POS> <T> Burnout <H> Work Intensity <POS> <T> Productivity <H> Burnout <NEG> <T> Productivity <H> Burnout <POS> <T> Turnover <H> Time Available <NEG> <T> Time Pressure <H> Quality of investigation / negotiation / documentation <NEG> <T> Settlement Costs <H> Settlement Costs <POS> <T> Financial Pressure <H> Financial Pressure <NEG> <T> Hiring <H> Time Pressure <POS> <T> Hiring <H> Hiring <POS> <T> Adjusters <H> Adjusters <POS> <T> Time Available <H> Turnover <NEG> <T> Adjusters <E>,"Individual adjusters in a claims organization constantly adjust the pace of work to control the backlog of pending claims. A high pending pool means more dissatisfied customers as claimants find themselves waiting longer. Claims processing centers carefully monitor the pending pool, regularly reporting various measures of work flow. An increase in incoming claims causes the pending pool to rise, intensifying the time pressure on each adjuster. Time pressure measures the adequacy of the adjuster staff and skills available to handle the current case load. There are only three ways in which high time pressure can be relieved: devote less time to each claim; increase work intensity; add adjuster capacity. Each option forms a balancing feedback process which seeks to restore time pressure to normal. However, the three channels for controlling the work flow involve very different time delays, costs, and side effects. Adding adjuster capacity means hiring additional adjusters, improving training, and reducing turnover, increasing time available and settlements, reducing the pending pool, and relieving time pressure. But building adjuster capacity takes time. New adjusters must be found, hired, and trained. Adjusting is a highly skilled profession, and the ability to handle complex claims effectively requires years of experience. Building capacity is also expensive and requires top-management authorization. Adding adjuster capacity was therefore the last resort in the organization. Increasing work intensity means longer work weeks, fewer breaks, and less time spent in 'nonproductive' activities such as talking with colleagues or training new hires, increasing the time spent settling claims and draining the pending pool. Overtime is frequently used to control the pending pool. However, sustained high work intensity produces stress, low morale, and burnout, lowering productivity and increasing turnover. By far the easiest and quickest way to control time pressure is to settle each claim faster. Individual adjusters have a high degree of control over the time they spend on a claim. They decide how aggressively to pursue investigation, whether to visit the claimant or handle the claim by 'telephone adjusting', how long to negotiate with the claimant, how much time to spend keeping records. When time pressure rises adjusters cut back on all of these activities, quickly cutting the pending pool and easing time pressure. However, spending less time on each claim inevitably erodes the quality of the settlements. Inadequate attention to documentation means the firm is less successful in litigation and subrogation, increasing settlement costs. Effort is wasted trying to locate and reconstruct evidence improperly recorded at the time of the loss, increasing the time required to settle and further intensifying time pressure in a vicious cycle. Less investigation and negotiation means settlements are likely to be inflated. Settlement costs increase as adjusters under time pressure tend to agree to a claimant's initial request, up to the amount they are authorized to pay without a supervisor's approval."
2.csv,<S> <H> demand supply ratio <POS> <T> price <H> price <NEG> <T> demand <H> price <POS> <T> supply <H> demand supply ratio <POS> <T> demand supply ratio <H> supply <NEG> <T> demand supply ratio <E>,"a change in price changes demand and supply with some delay, and demand and supply in turn influence price."
20.csv,<S> <H> Price <POS> <T> Revenue <H> Production <POS> <T> Revenue <H> Orchards <POS> <T> Production <H> Labor <POS> <T> Production <H> Pumping rate <POS> <T> Production <H> Revenue <POS> <T> Profit <H> Profit <POS> <T> Cultivation <H> Cultivation <POS> <T> Orchards <H> Total cost <NEG> <T> Profit <H> Orchards <POS> <T> Pumping rate <H> Pumping rate <NEG> <T> Groundwater level <H> Groundwater level <POS> <T> Pumping rate <H> Water inflows <POS> <T> Groundwater level <H> Orchards <POS> <T> Orchards cost <H> Orchards <POS> <T> Labor <H> Cultivation <POS> <T> Total cost <H> Orchards cost <POS> <T> Total cost <H> Labor cost <POS> <T> Total cost <H> Water cost <POS> <T> Total cost <H> Labor <POS> <T> Labor cost <H> Pumping rate <POS> <T> Water cost <H> Groundwater level <NEG> <T> Water unit cost <H> Water unit cost <POS> <T> Water cost <E>,"Due to the perfect climatic conditions, government subsidies, and low costs, producers have profited from the pistachio production over the past years. High profitability attracts producers’ attention to more cultivation. Higher rates of cultivation result in an increased level of orchards, which gives rise to the production, with a considerable delay. Increase in orchards area raises labor and water consumption, contributing to production. Since cultivating young orchards requires vast investments and around more than 5 years is needed to reach the highest yield levels, the associated fixed costs prevent the infinite revenue growth and balance the revenue–cost ratio. Moreover, orchards maintenance and materials used for production, labor compensation, and cost of acquiring water control the revenue growth. To have an economically harvestable yield, producers must irrigate orchards frequently. More orchards increase the need for more water; therefore, pumping from the groundwater, as the primary source of water in the region, surges. Accordingly, if the pumping is higher than the inflow to the ground water, which has been the case over the past decades, the ground water level declines, resulting in less available water. Lower water availability reduces pistachio production. Moreover, as the groundwater level decreases, the cost of acquiring water increases. This includes the cost of drilling, pumping, water-well maintenance, and so on, which hugely affects the profitability of farmers. Water inflow includes precipitation and laterflows to the groundwater."
3.csv,<S> <H> Terrorist attacks <POS> <T> Threat to Americans <H> Threat to Americans <POS> <T> Need to respond militarily <H> Need to respond militarily <POS> <T> U.S. Military activity <H> U.S. Military activity <POS> <T> Perceived aggressivess of U.S. <H> Perceived aggressivess of U.S. <POS> <T> Terrorist recruits <H> Terrorist recruits <POS> <T> Terrorist attacks <E>,"The United States responds to a perceived Threat to Americans by increasing U.S. military activities, which increases the Perceived Aggressiveness of the U.S., which leads to more Terrorist Recruits, which eventually leads to more Terrorist Activities and increases the Threat to the United States, which leads to more U.S. military activities, which increases the Terrorist Recruits."
4.csv,<S> <H> Bring in H.R. expert <NEG> <T> Personnel performance problem <H> Personnel performance problem <POS> <T> Bring in H.R. expert <H> Bring in H.R. expert <POS> <T> Expectation that H.R. experts will solve problems <H> Expectation that H.R. experts will solve problems <NEG> <T> Develop managers' abilities <H> Develop managers' abilities <NEG> <T> Personnel performance problem <H> Personnel performance problem <POS> <T> Develop managers' abilities <E>,"Busy managers are often tempted to bring in human resource specialists to sort out personnel problems. The HR expert may solve the problem, but the manager's ability to solve other related problems has not improved. Eventually, other personnel issues will arise and the manager will be just as dependent on the HR expert as before. The very fact that the outside expert was used successfully before makes it even easier to turn to expert again."
5.csv,<S> <H> Alcohol <NEG> <T> Stress <H> Stress <POS> <T> Alcohol <H> Alcohol <NEG> <T> Health <H> Stress <POS> <T> Reduce workload <H> Reduce workload <NEG> <T> Stress <H> Health <POS> <T> Reduce workload <E>,"Alcohol drinking lifts some tension, at least for a while. It relieves the problem symptom. If it didn’t, people wouldn’t drink. But it also gives the person the feeling of having solved the problem, thereby diverting attention from the fundamental problem—controlling the workload. Failing to take a stand may well cause the workload to gradually increase further, since most of us are continually besieged by more demand on our time than we can possibly respond to. Over time, the workload continues to build, the stress returns, and the pressure to drink increases."
6.csv,<S> <H> Fraction discoverable <NEG> <T> Technically discoverable resource remaining <H> Undiscovered resource <POS> <T> Technically discoverable resource remaining <H> Technically discoverable resource remaining <POS> <T> Productivity of investment in exploration <H> Productivity of investment in exploration <POS> <T> Discovery potential <H> Discovery potential <POS> <T> Discovery rate <H> Discovery rate <NEG> <T> Undiscovered resource <H> Investment in exploration <POS> <T> Discovery potential <H> Demand for exploration <POS> <T> Discovery rate <E>,"The productivity  of  investment in exploration is negatively influenced by the discovery rate. Suppose the discovery rate is increased. Then less remains to be discovered with current technology, and the productivity of further investment in exploration  is reduced. It  is assumed that the yield  from exploration is exponentially  decreasing with cumulative footage drilled, and that the footage drilled per dollar  invested is constant . The reduction in  productivity  feeds back to the discovery rate, implying a  reduction in the discovery potential  provided by any given level of exploration activity. "
7.csv,<S> <H> Interventionist time on implementation <POS> <T> Implementation rate <H> Interventionist quality <POS> <T> Implementation rate <H> Implementation rate <POS> <T> Implemented components <H> Motivation of stakeholders <POS> <T> Implementation rate <H> Implemented components <POS> <T> Cost to owner <H> Implemented components <POS> <T> Perceived benefits <H> Cost to owner <NEG> <T> Perceived benefits <H> Perceived benefits <POS> <T> Motivation of stakeholders <E>,"we consider the impact of implemented components on the carry-out and store operations. Some components may lead to new costs, e.g., for acquiring healthier ingredients and finding new suppliers. Benefits may also ensue, including financial benefits due to increased sales or incentives for participation in the study, reputational benefits, and the personal satisfaction of making a contribution to community health. An increase in motivation due to observation of such benefits can lead to further implementation of components, and thus even more benefits… On the other hand, if the storeowner perceives the costs (both financial and time costs) to exceed those benefits, then a balancing loop may dominate which reduces motivation in response to progress, and slows down further implementation."
8.csv,<S> <H> Revenues <POS> <T> R+D budget <H> R+D budget <POS> <T> New products <H> New products <POS> <T> Revenues <H> R+D budget <POS> <T> Size of engineering staff <H> Size of engineering staff <POS> <T> Management complexity <H> Management complexity <POS> <T> Management burden to senior engineers <H> Management burden to senior engineers <POS> <T> Product development time <H> Senior engineers' ability to manage <NEG> <T> Product development time <H> Product development time <NEG> <T> New products <E>,"A high_tech organization grows rapidly because of its ability to introduce new products. As new products grow, revenues grow, the R&D budget grows, and the engineering and research staff grows. Eventually, this burgeoning technical staff becomes increasingly complex and difficult to manage. The management burden often falls on senior engineers, who in turn have less time to spend on engineering. Diverging the most experienced engineers from engineering to management results in longer product development times, which slow down the introduction of new products."
9.csv,<S> <H> Making future commitments <POS> <T> Future commitments <H> Future commitments <POS> <T> Commitments due <H> Commitments due <NEG> <T> Future commitments <H> Average duration of commitments <POS> <T> Commitments due <H> Commitments due <POS> <T> Fulfilling the commitments <H> Fulfilling the commitments <NEG> <T> Budget for new funding <H> Annual budget <POS> <T> Budget for new funding <H> Budget for new funding <POS> <T> Issuing new grants <H> Issuing new grants <POS> <T> Making future commitments <E>,"Fulfilling the past commitments [is shown]. Increased annual budget leads to more new grants, more new grants result in more future commitments, and that in turn decreases funds for future new grants."
