Subgraph,Sentence
<S> <H> Coping skills/resiliency <NEG> <T> (Unhealthy) coping strategies <H> (Unhealthy) coping strategies <POS> <T> Substance abuse <E>,"A child's who has resiliency and good coping skills has less unhealthy coping strategies, such as substance abuse."
<S> <H> Suicide ideation <POS> <T> Mental health disorders <H> Mental health disorders <NEG> <T> Child getting help <E>,"Suicide ideation can affect a person's mental health disorders, which can reduce the chances of them getting help."
<S> <H> Problems handling difficult emotions <NEG> <T> Therapy success <E>,Problems involving difficult emotions like sadness and loneliness reduces the likelihood that therapy will be effective.
<S> <H> Policies promoting access to healthcare service and delivery <POS> <T> Access to services <E>,Policies that promote access to healthcare service and delivery increase the accessibility of services.
<S> <H> Mental health disorders <NEG> <T> Child getting help <H> Child getting help <POS> <T> Ability to express one self <E>,"Mental health disorders can reduce the chances of a child's getting help, but if a child's is getting help, they are more likely to express themselves."
<S> <H> Child getting help <POS> <T> Ability to express one self <E>,A child's getting help positively impacts their ability to express oneself.
<S> <H> Health education <POS> <T> Access to services <E>,A better health education means services are more accessible.
<S> <H> Protective environment <POS> <T> Positive handling of stress <H> Positive handling of stress <POS> <T> Coping skills/resiliency <E>,"Someone who has a protective environment tends to have a good handling of stress, which improves resilience and coping skills."
<S> <H> Stress <POS> <T> Positive handling of stress <H> Positive handling of stress <POS> <T> Coping skills/resiliency <E>,"Since stress can affect how one handles stress, it will also affect one's resilience and coping skills."
<S> <H> Positive peers <POS> <T> Peers you can talk to <E>,Peers that are positive are peers a child's can talk to.
<S> <H> Economic Policies for ACEs <POS> <T> Protective environment <E>,Economic policies for ACEs help create and improve a child's protective environment.
<S> <H> Coping skills/resiliency <POS> <T> Positive handling of stress <E>,A person who is resilient and has good coping skills tends to handle stress well.
<S> <H> Supportive adults outside the home <POS> <T> Protective environment <E>,A child's that has supportive adults other than those in their home have a well-established protective environment.
<S> <H> Suicide ideation <POS> <T> Lack of insight or self-appraising of thoughts <H> Lack of insight or self-appraising of thoughts <POS> <T> Visit to the ER <E>,"Suicide ideation can affect a person's lack of insight or self-appraising of thoughts, which can result in a visit to the emergency room."
<S> <H> In-patient treatment <POS> <T> Mental health treatment <E>,One form of in-patient treatment is mental health treatment.
<S> <H> Suicide attempt <POS> <T> In-patient treatment <H> In-patient treatment <POS> <T> Mental health treatment <E>,"A suicide attempt typically results in in-patient treatment, which may include mental health treatment."
<S> <H> Connectedness <NEG> <T> Suicide attempt <H> Suicide attempt <POS> <T> In-patient treatment <E>,"A person's connected reduces the chance of a suicide attempt, thus reducing the need for in-patient treatment."
<S> <H> Visit to the ER <POS> <T> Care at home <E>,A person who goes to the ER will typically have better care at home after the visit.
<S> <H> Externally sought medical help <POS> <T> Visit to the ER <H> Visit to the ER <POS> <T> Care at home <E>,"A person who externally sought medical help was more likely to visit the ER, which would likely improve their care at home."
<S> <H> Therapy success <POS> <T> Hearing from child within therapy <H> Hearing from child within therapy <POS> <T> Parental involvement in care <E>,Therapy success increase hearing from the child within therapy which increases parental involvement in care.
<S> <H> Parental involvement in care <POS> <T> Care at home <H> Care at home <POS> <T> Therapy success <E>,Parental involvement in care increase care at home which increases therapy success.
<S> <H> Parent’s substance use <NEG> <T> Parental involvement in care <H> Parental involvement in care <POS> <T> Care at home <E>,Parent's substance use decreases the parental involvement in care which increases the care at home.
<S> <H> Care at home <POS> <T> Therapy success <H> Therapy success <POS> <T> Hearing from child within therapy <E>,Care at home increase therapy's success which increases hearing from the child within therapy.
<S> <H> Structural racism <POS> <T> Identity is outside the socially accepted norm in the community <H> Identity is outside the socially accepted norm in the community <POS> <T> Bullying <E>,Structural racism increase the thought that identity is outside the socially accepted norm in the community which increases bullying.
<S> <H> Low socio-economic status of the neighbourhood <POS> <T> Identity is outside the socially accepted norm in the community <H> Identity is outside the socially accepted norm in the community <POS> <T> Bullying <E>,Low Socioeconomic status of the neighbourhood increase the thought that identity is outside the socially accepted norm in the community which increases bullying.
<S> <H> Identity is outside the socially accepted norm in the community <POS> <T> Bullying <E>,Identity is outside the socially accepted norm in the community increases bullying.
<S> <H> In-patient treatment <POS> <T> Access to mental health care <H> Access to mental health care <POS> <T> Treatment of mental health issues <E>,In-patient treatment gives access to mental health care which increases the treatment of mental health issues.
<S> <H> Help-seeking behaviors <POS> <T> Access to mental health care <H> Access to mental health care <POS> <T> Treatment of mental health issues <E>,Help-seeking behaviours increase access to mental health care which increases treatment of mental health issues.
<S> <H> Access to mental health care <POS> <T> Treatment of mental health issues <E>,Access to mental health care increases the treatment of mental health issues.
<S> <H> Housing stability <NEG> <T> Family financial stress <E>,Housing stability decreases a families financial stress
<S> <H> Financial Stability <POS> <T> Child development fund for future education <E>,Financial stability increases a child's development fund for future education.
<S> <H> Employment <POS> <T> Financial Stability <H> Financial Stability <POS> <T> Child development fund for future education <E>,Employment increases financial stability which increases a child's development fund for future education
<S> <H> Economic Policies for ACEs <POS> <T> Financial Stability <H> Financial Stability <POS> <T> Child development fund for future education <E>,Economic Policies for ACEs increases financial stability which increases a child's development fund for future education.
<S> <H> Parental frustration <POS> <T> Invalidating family environment <E>,Parental frustration leads to a invalidation family environment.
<S> <H> Lack of support <POS> <T> Suicide ideation <E>,Lack of support leads to more suicide ideation.
<S> <H> Lack of parental coping mechanisms <POS> <T> Parental frustration <E>,Lack of parental coping mechanisms lead to parental frustration.
<S> <H> African/American <POS> <T> Invalidating family environment <H> Invalidating family environment <POS> <T> Suicide ideation <E>,African/American people have more invalidation family environments which lead to more suicide ideation.
<S> <H> Suicide planning <POS> <T> Lethality of method <H> Lethality of method <NEG> <T> Ability to safe life by treatment <E>,Suicide planning increase the lethality of method which decreases the ability to save life by treatment.
<S> <H> Suicide attempt <POS> <T> Lethality of method <H> Lethality of method <NEG> <T> Ability to safe life by treatment <E>,Suicide attempts lead increase lethality of method which decreases the ability to save life by treatment.
<S> <H> Access to lethal means <POS> <T> Lethality of method <H> Lethality of method <NEG> <T> Ability to safe life by treatment <E>,Access to lethal means increases the lethality of method which decreases the ability to save life by treatment.
<S> <H> Religiosity <POS> <T> Corporal punishment <H> Corporal punishment <POS> <T> Household Challenges <E>,Religiosity increases corporal punishment which increases household challenges.
<S> <H> Poor parenting skills <POS> <T> Corporal punishment <E>,Poor parenting skills increase corporal punishment.
<S> <H> Household Challenges <POS> <T> Parental risk factors <E>,Household challenges increase parental risk factors.
<S> <H> Corporal punishment <POS> <T> Household Challenges <H> Household Challenges <POS> <T> Parental risk factors <E>,Corporal punishment increases household challenges which increase parental risk factors.
<S> <H> Structural racism <POS> <T> Living in impoverished environment <H> Living in impoverished environment <NEG> <T> Access to services <E>,Structural racism increase chance of living in impoverished environment which decreases access to services.
<S> <H> Family financial stress <NEG> <T> Access to services <E>,Family financial stress decreases access to services.
<S> <H> Physical disability <POS> <T> Burdensomness <E>,Physical disability increases one's burdensomeness.
<S> <H> Mental disability <POS> <T> Disabilities <H> Disabilities <POS> <T> Child risk factors <E>,Mental disability is a disability which increase a child's risk factors.
<S> <H> Disabilities <POS> <T> Child risk factors <E>,Disabilities increase a child's risk factors.
<S> <H> Undetected attempts by agents of change <NEG> <T> Externally sought medical help <E>,Undetected attempts by agents of change decrease externally sought medical help.
<S> <H> Non-lethal <POS> <T> Undetected attempts by agents of change <E>,Non-lethal increase undetected attempts by agents of change.
<S> <H> Informing others of suicidal thoughts <NEG> <T> Undetected attempts by agents of change <H> Undetected attempts by agents of change <NEG> <T> Externally sought medical help <E>,Informing others of suicidal thought  cause undetected attempts by agents of change which decrease externally sought medical help.
<S> <H> Substance abuse <POS> <T> Low household income <H> Low household income <POS> <T> Family financial stress <E>,Substance abuse causes low household income which increase a family's financial stress.
<S> <H> Local job opportunities <NEG> <T> Low household income <H> Low household income <POS> <T> Family financial stress <E>,Local job opportunities decrease low household incomes which increases a family's financial stress.
<S> <H> Substance use treatment <POS> <T> Provision of care services <H> Provision of care services <NEG> <T> Family risk factors <E>,Substance use treatment results in higher provision of care services. Having access to provision of care services reduces family risk factors
<S> <H> African/American <NEG> <T> Provision of care services <H> Provision of care services <NEG> <T> Family risk factors <E>,African/Americans have lower provision of care services. Provision of care services leads to lower family risk factors.
<S> <H> Toxic stress <POS> <T> (Unhealthy) coping strategies <E>,Toxic stress leads to unhealthy coping mechanisms.
<S> <H> Invalidation <POS> <T> Toxic stress <H> Toxic stress <POS> <T> (Unhealthy) coping strategies <E>,"Greater feelings of invalidation causes toxic stress, which can lead to mental health disorders."
<S> <H> Stress <POS> <T> Mental health disorders <E>,"An increase in stress, can lead to mental health disorders."
<S> <H> Connectedness <POS> <T> Protective factors <E>,"The greater level of connectedness someone feels, the greater their protective factors."
<S> <H> Good education in early childhood <POS> <T> Ability to connect <H> Ability to connect <POS> <T> Connectedness <E>,"Having a good childhood education, increases people's ability to connect, resulting in an increase in connectedness."
<S> <H> Mental health disorders <NEG> <T> Ability to connect <H> Ability to connect <POS> <T> Connectedness <E>,"A rise in mental health disorders, reduces one's ability to connect with others. one's ability to connect with others is positively correlated with their feelings of connectedness."
<S> <H> Rural <POS> <T> Multi-generational despair <H> Multi-generational despair <POS> <T> Acceptance of one's identity <E>,"People from a rural area experience higher rates of multi-generational despair, which leads to a higher acceptance of one's identity. "
<S> <H> Acceptance of one's identity <NEG> <T> Identity conflict <E>,Higher acceptance of one's identity reduces identity conflict.
<S> <H> Multi-generational despair <POS> <T> Acceptance of one's identity <H> Acceptance of one's identity <NEG> <T> Identity conflict <E>,"Experiencing multi-generational despair increases one's acceptance of their identity, so they experience lower rates of identity conflict."
<S> <H> Re-entry of parent <POS> <T> Disruptive events <E>,"The re-entry of a parent into one's life, leads to an increase in disruptive events."
<S> <H> Divorce <POS> <T> Separation <H> Separation <POS> <T> Being in foster care <E>,Families that experience divorce experience greater separation. Higher familial separation makes it more likely for a child's to spend time in foster care.
<S> <H> Parent’s incarceration <POS> <T> Separation <H> Separation <POS> <T> Being in foster care <E>,"Children who have had their parents incarcerated, are separated from them more. Spending more time separated from one's parents increases their likelihood of being in foster care."
<S> <H> Separation <POS> <T> Being in foster care <E>,A rise in separation of children from their parents leads to more children in foster care.
<S> <H> Increased willingness to apply pain to one self <POS> <T> Capacity for suicide <H> Capacity for suicide <POS> <T> Suicide ideation <E>,"Increased willingness to apply pain to one's self increases one's capacity for suicide. A higher capacity for suicide, results in higher rates of suicide ideation."
<S> <H> Reduced fear of death <POS> <T> Capacity for suicide <E>,Having a reduced fear of death raises one's capacity for suicide.
<S> <H> Self-harm <POS> <T> Increased willingness to apply pain to one self <E>,Experiencing self-harm increases one's willingness to apply pain to themself.
<S> <H> (Unhealthy) coping strategies <POS> <T> Self-harm <H> Self-harm <POS> <T> Increased willingness to apply pain to one self <E>,"Coping in an unhealthy way, increases rates of self-harm. Higher rates of self-harm leads to an increased willingness to apply pain to one's self."
<S> <H> Capacity for suicide <POS> <T> Suicide ideation <E>,Capacity for suicide increases suicide ideation.
<S> <H> Parental conflict <POS> <T> Child escalation of conflicts <H> Child escalation of conflicts <POS> <T> Family stress <E>,"Parental conflict results in more child's escalation conflicts, which raises family stress."
<S> <H> Impulsivity <POS> <T> Child escalation of conflicts <H> Child escalation of conflicts <POS> <T> Family stress <E>,Having impulsive family members leads to an increase in child's escalation conflicts. child's escalation conflicts increase family stress.
<S> <H> Cost of specialized childcare expenses and services <POS> <T> Family financial stress <E>,Increased costs of specialized childcare expenses and services lead to increased family financial stress.
<S> <H> Developmental disorders and delays <POS> <T> Cost of specialized childcare expenses and services <H> Cost of specialized childcare expenses and services <POS> <T> Family financial stress <E>,Developmental disorders and delays increase the cost of specialized childcare expenses and services which increases the amount of family financial stress.
<S> <H> Brain development problems <POS> <T> Developmental disorders and delays <H> Developmental disorders and delays <POS> <T> Cost of specialized childcare expenses and services <E>,Brain development problems increase the likelihood of developmental disorders and delays which leads to more costs of specialized childcare expenses and services.
<S> <H> Structural racism <POS> <T> Devaluation of one's identity <H> Devaluation of one's identity <POS> <T> Invalidation <E>,Structural racism increases devaluation of one's identity hence causing to grow the feeling of invalidation.
<S> <H> Sexual minority <POS> <T> Devaluation of one's identity <H> Devaluation of one's identity <POS> <T> Invalidation <E>,Sexual minority increases devaluation of one's identity thereby increasing invalidation.
<S> <H> Engaging in conflicts <POS> <T> Harsh discipline <E>,Engaging in conflicts results in harsh discipline
<S> <H> Disruptive behaviors <POS> <T> Engaging in conflicts <H> Engaging in conflicts <POS> <T> Harsh discipline <E>,Disruptive behaviors lead to engaging in conflicts which result in harsh discipline.
<S> <H> Coping skills/resiliency <NEG> <T> Engaging in conflicts <H> Engaging in conflicts <POS> <T> Harsh discipline <E>,Coping skills and resiliency lowers the chances of engaging in conflicts which avoids harsh discipline.
<S> <H> Substance abuse <POS> <T> Removal from care services <H> Removal from care services <POS> <T> Experienced negative treatment experience <E>,"Substance abuse leads to a removal from care services, which results in having a negative treatment experience."
<S> <H> African/American <POS> <T> Removal from care services <H> Removal from care services <POS> <T> Experienced negative treatment experience <E>,Being African American leads to a removal from care services which results in a negative treatment experience.
<S> <H> Access to health care services <POS> <T> Removal from care services <H> Removal from care services <POS> <T> Experienced negative treatment experience <E>,Access to health care services leads to a removal from care services which results in experiencing a negative treatment experience.
<S> <H> Household Income <POS> <T> Income/person supported in the household <H> Income/person supported in the household <NEG> <T> Parental risk factors <E>,Household income increases the income and support in the household which can reduce parental risk factors.
<S> <H> Household Challenges <POS> <T> Parental risk factors <E>,Household challenges result in parental risk factors.
<S> <H> Many children in the home <POS> <T> Household Challenges <E>,Having many children in the home results in household challenges.
<S> <H> Parent’s substance use <POS> <T> Internalized parental shame <H> Internalized parental shame <NEG> <T> Help-seeking behaviors <E>,Parent's substance abuse leads to internalized parental shame which results in less help-seeking behaviors.
<S> <H> Mental illness in the family <POS> <T> Internalized parental shame <H> Internalized parental shame <NEG> <T> Help-seeking behaviors <E>,"Mental illness in the family leads to internalized parental shame, which reduces the likelihood of help-seeking behaviors."
<S> <H> Family financial stress <NEG> <T> Access to services <E>,Family financial stress leads to less access to services.
<S> <H> Lack of transportation <NEG> <T> Access to services <E>,A lack of transportation results in less access to services.
<S> <H> Structural racism <POS> <T> Arrest of parent <H> Arrest of parent <POS> <T> Parent’s incarceration <E>,Structural racism leads to arrests of parents which leads to parent's incarceration.
<S> <H> Parent’s substance use <POS> <T> Arrest of parent <H> Arrest of parent <POS> <T> Parent’s incarceration <E>,Higher parent’s substance use increases the chance of arrest of parent thereby increasing parent’s incarceration.
<S> <H> Hopelessness <NEG> <T> Feeling energetic and hopeful <E>,Hopelessness leads to not feeling energetic and hopeful.
<S> <H> Child welfare intervention <POS> <T> Being in foster care <E>,child's welfare intervention increases the likelihood of being in foster care.
<S> <H> Tribal community <POS> <T> Historical trauma <H> Historical trauma <POS> <T> Biological embedding of trauma in the family <E>,Tribal communities have historical trauma which can lead to a biological embedding of trauma in the family.
<S> <H> Historical trauma <POS> <T> Biological embedding of trauma in the family <E>,Historical trauma can give rise to biological embedding of trauma in the family.
<S> <H> Neurological disorders <POS> <T> Chronic pain <E>,More neurological disorders can lead to chronic pain.
<S> <H> Maternal substance use during pregnancy <POS> <T> Maternal substance use during childhood and adolescence <E>,Maternal substance use during pregnancy increases the likelihood of maternal substance use during childhood and adolescence.
<S> <H> Suicide planning <POS> <T> Delayed plan <H> Delayed plan <NEG> <T> Suicide attempt <E>,Suicide planning leads to a delayed plan which lowers the likelihood of a suicide attempt.
<S> <H> Late childhood and adolescence <POS> <T> Delayed plan <H> Delayed plan <NEG> <T> Suicide attempt <E>,In late childhood and adolescence you are more likely to have a delayed plan which will lower your chances of a suicide attempt.
<S> <H> Socio-economic status <NEG> <T> Family financial stress <E>,Higher Socioeconomic status reduces family financial stress.
<S> <H> Stigma of embarassment <POS> <T> Denial of problem <E>,Stigma of embarrassment increases denial of problem.
<S> <H> Family stress <POS> <T> Exposure to family stressors <H> Exposure to family stressors <POS> <T> Stress <E>,Family stress increases exposure to family stressors thereby increasing stress.
<S> <H> Policies on responsible suicide awareness <NEG> <T> Imitating a suicidal behavior <E>,Increase in policies on responsible suicide awareness reduces the chances of imitating a suicidal behavior.
<S> <H> Suicide ideation <POS> <T> Suicide attempt <E>,High ideation of suicide increases the its attempts.
<S> <H> (Unhealthy) coping strategies <POS> <T> Substance abuse <E>,(Unhealthy) coping strategies can lead to substance abuse.
<S> <H> Feeling that your group is not valued <POS> <T> Burdensomness <E>,There is a positive correlation between the feeling that your group is not valued and burdensomeness.
<S> <H> Sexual minority <POS> <T> Feeling that your group is not valued <H> Feeling that your group is not valued <POS> <T> Burdensomness <E>,Sexual minority increases the feeling that your group is not valued which can increase the feeling of burdensomeness in the individual.
<S> <H> (Non Caucasian) Ethnicity <POS> <T> Feeling that your group is not valued <E>,Having (Non Caucasian) Ethnicity correlates with the feeling that your group is not valued.
<S> <H> Coping Skills/Resilience <NEG> <T> Suicide ideation <E>,Coping Skills/Resilience are important to decrease suicide ideation.
<S> <H> Single parent household <POS> <T> Household dysfunction <E>,Single parent households are more likely to face dysfunction.
<S> <H> Feeling that your group is not valued <POS> <T> Burdensomness <E>,There is a positive correlation between the feeling that your group is not valued and burdensomeness.
<S> <H> Child risk factors <POS> <T> ACEs <H> Child risk factors <POS> <T> Victimisation of Children <H> Victimisation of Children <POS> <T> Experience in acting as a reaction to feelings <E>,"Higher the child's risk factors, higher the adverse childhood experiences (ACEs) and victimisation of children. This can result in acting as a reaction to feelings."
<S> <H> Early childhood education and school readiness <POS> <T> Pro-social behavior <H> Early childhood education and school readiness <POS> <T> Quality of health <H> Early childhood education and school readiness <NEG> <T> Maladaptive outcomes <E>,"Early childhood education and school readiness increases the pro-social behavior, quality of health and reduces maladaptive outcomes."
<S> <H> ACEs <POS> <T> Involvement with the justice system <H> Involvement with the justice system <POS> <T> Contact with other individuals in the justice system <H> Involvement with the justice system <POS> <T> Sentence severity <E>,Adverse childhood experiences (ACEs) increases the likelihood of involvement of the justice system. This can further increase contacts within the system and hence the sentence severity.
<S> <H> Positive handling of stress <POS> <T> Resilience <E>,"Increase in the ability to positively handle the stress, increases a person's resilience towards it."
<S> <H> Visit of ER <POS> <T> Receives care at home <H> Visit of ER <POS> <T> Hospitalized <H> Hospitalized <POS> <T> Treatment success <E>,"Visit to ER increases the care taking at home, while also helps the victim to get hospitalized. This boosts the likelihood of the treatment success."
<S> <H> Places that don't have supportive family work policies <POS> <T> Family stress <H> Places that don't have supportive family work policies <POS> <T> Policy and cultural risk factors <E>,Places that don't have supportive family work policies have depicted increase in family stress and also increase in policy and cultural risk factors.
<S> <H> Lack of family income <POS> <T> Parent engage in illegal activities <E>,"Higher the lack of family income, higher the chances of parent engagement in illegal activities."
<S> <H> ACEs <POS> <T> Depression <H> ACEs <POS> <T> Suicide ideation <E>,Adverse childhood experiences (ACEs) increases depression and also suicide ideation.
<S> <H> Substance use treatment <POS> <T> Provision of care services <H> Provision of care services <POS> <T> Pre-natal care <H> Provision of care services <POS> <T> Post-natal care <H> Post-natal care <NEG> <T> Family risk factors <E>,Substance use treatment increases provision of care services. Provision of care services increases pre-natal care and post-natal care which reduces the family risk factors.
<S> <H> ACEs <POS> <T> Stress <E>,Adverse childhood experiences is highly likely to increase stress.
<S> <H> Policies supporting families <POS> <T> Policies supporting protective environments <E>,Policies supporting families gives rise to the policies supporting protective environments.
<S> <H> Traumatic experience of the ACE <POS> <T> Cumulative trauma <E>,Traumatic experience of the adverse childhood experience (ACE) increases a child's' cumulative trauma.
<S> <H> Separation <POS> <T> Being in foster care <H> Being in foster care <POS> <T> Hospitalized <E>,Separation from the family increases the chances of getting into a foster care which also increases the probability of getting hospitalized.
<S> <H> ACEs <POS> <T> Religious Resentment <H> ACEs <POS> <T> Suicide ideation <H> Religious Resentment <NEG> <T> Faith <E>,Adverse childhood experiences (ACEs) increases religious resentment which reduces faith in a religion. This also increases suicide ideation.
<S> <H> Parents' ACEs as children <POS> <T> Epi-genetic & behavioral modeling effects on parents <H> Epi-genetic & behavioral modeling effects on parents <POS> <T> Parental perpetration of ACE <E>,Parents' ACEs as children has a positive impact on epi-genetic & behavioral modeling effects on parents which increases the parental perpetration of ACE.
<S> <H> Parents' mental illness <POS> <T> Household challenges <E>,"Higher the parents' mental illness, higher are the household challenges."
<S> <H> Invalidation <POS> <T> Toxic stress <H> Toxic stress <POS> <T> (Unhealthy) coping strategies <H> Toxic stress <POS> <T> Mental health disorders <H> Toxic stress <POS> <T> Reactive act of suicide <E>,"Invalidation gives rise to toxic stress. This in turn can increase unhealthy coping strategies, mental health disorders and reactive acts towards suicide."
<S> <H> Parent’s substance use <NEG> <T> Parental involvement in care <H> Parental involvement in care <POS> <T> Care at home <H> Parental involvement in care <POS> <T> Mental health treatment <H> Parental involvement in care <POS> <T> Therapy success <H> Therapy success <POS> <T> Hearing from child within therapy <E>,Parent's substance use reduces care towards the family. Parental involvement in care at home improves mental health and increases success of therapy.
<S> <H> Policy and cultural risk factors <POS> <T> ACEs <E>,Increase in policy and cultural risk factors gives rise to adverse childhood experiences (ACEs).
<S> <H> Supportive adults outside the home <POS> <T> Protective environment <E>,"Rise in supportive adults outside the home, gives rise to protective environment."
<S> <H> Age 10 - 17 <POS> <T> Bullying <E>,Children in the age between 10 and 17 are more likely to face bullying.
<S> <H> School tolerance of injustice and victimization <POS> <T> School problems <E>,School tolerance towards injustice and victimization highly gives rise to school problems.
<S> <H> Contact with other individuals in the justice system <POS> <T> Individual risk factors <E>,Contact with other individuals in the justice system increases individual risk factors.
<S> <H> Sense of worth <NEG> <T> Suicide ideation <H> Suicide ideation <POS> <T> Suicide attempt <E>,Rise in sense of worth reduces suicide ideation and suicide attempt.
<S> <H> Child escalation of conflicts <POS> <T> Family stress <H> Child escalation of conflicts <POS> <T> Parental escalation of conflicts <E>,child's escalation of conflicts is an important factor of family stress and also escalates parental conflicts.
<S> <H> Sexual/gender minority <POS> <T> Shame <H> Sexual/gender minority <POS> <T> Devaluation of one's identity <H> Devaluation of one's identity <POS> <T> Emotional invalidation <E>,"Minority views towards sex/gender increases shame and devaluation of one's identity, which leads to increase in emotional invalidation."
<S> <H> Distrust of mental health <POS> <T> Unwillingness to access medical services <E>,"Higher the distrust of mental health, higher is the unwillingness to access medical services."
<S> <H> Traumatic experience of the ACE <POS> <T> Cumulative trauma <E>,Traumatic experience of the adverse childhood experience (ACE) increases the cumulative trauma.
<S> <H> Emotional breakup and rejection <POS> <T> Trauma history <H> Trauma history <POS> <T> Involvement in violence <H> Trauma history <POS> <T> Situational / interpersonal interactions <E>,Emotional breakup and rejection increases trauma and the person is more likely to involve in violence which impacts their situational and interpersonal interactions.
<S> <H> Feeling of insecurity <POS> <T> ACEs <E>,"Higher the feeling of insecurity, higher is the adverse childhood experiences (ACEs)."
<S> <H> Removal from care services <POS> <T> Experienced negative treatment experience <H> Experienced negative treatment experience <POS> <T> Medical/clinical care avoidance <H> Medical/clinical care avoidance <POS> <T> Avoidance of mental/emotional/behavioral care services <E>,Removing a person from care services worsens his treatment experience and leads him to avoid medical/clinical cares. This can further lead to avoidance of mental/emotional/behavioral care services.
<S> <H> Mental disability <POS> <T> Disabilities <H> Disabilities <POS> <T> Child risk factors <H> Disabilities <POS> <T> Parental burden <E>,Mental disability can induce disabilities that further increases child's risk factors and parental burdens.
<S> <H> Parent’s substance use <POS> <T> ACEs <H> ACEs <POS> <T> Brain development problems <H> ACEs <POS> <T> Impulsivity <H> Brain development problems <POS> <T> Developmental disorders and delays <H> Developmental disorders and delays <POS> <T> Cost of specialized childcare expenses and services <H> Developmental disorders and delays <POS> <T> Marital relationship stress <H> Developmental disorders and delays <POS> <T> Parental stress <E>,Parent’s substance abuse is highly likely to increase adverse childhood experiences (ACEs) which can impact brain development problems and impulsivity. Brain development issues increases developmental disorders and delays in children which also increases the cost of specialized childcare expenses and services. Developmental disorders and delays can in the future impact marital relationship .
<S> <H> Mental health disorders <POS> <T> Child risk factors <H> Mental health disorders <NEG> <T> Coping skills/resiliency <H> Coping skills/resiliency <NEG> <T> (Unhealthy) coping strategies <H> Coping skills/resiliency <NEG> <T> ACEs <H> ACEs <POS> <T> Cumulative trauma <H> Cumulative trauma <POS> <T> Suicide ideation <E>,"Mental health disorders increases the likelihood of child's risk factors while reducing coping skills/resiliency. This reduction in coping skills/resiliency can increase unhealthy coping strategies, adverse childhood experiences (ACEs). ACEs can further give rise to trauma and suicide ideation."
<S> <H> Witnessing community violence <POS> <T> Exposure to violence <H> Exposure to violence <POS> <T> ACEs <E>,When children witness community violence they are more likely to become violent and hence increases the ACEs.
<S> <H> Mother substance use in pregnancy <POS> <T> ACEs <H> Mother substance use in pregnancy <POS> <T> Neurological vulnerabilities <H> Neurological vulnerabilities <POS> <T> Difficult behaviors <E>,Mother substance use in pregnancy increase the chances of adverse childhood experiences (ACEs) and also neurological vulnerabilities in children. This can give rise to socially difficult behaviors in them.
<S> <H> Health education <POS> <T> Access to services <H> Access to services <NEG> <T> Suicide ideation <E>,Pushing health education gives rise to access to services and reduces suicide ideation.
<S> <H> Getting labeled at school <POS> <T> Engaging in externalizing behaviors <E>,A child's who gets labeled at school is more likely to engage in externalizing behaviors.
<S> <H> Execution of suicide plan <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Suicide planning <E>,Execution of suicide plan gives rise to suicide attempt which further enforces suicide planning in the subject.
<S> <H> Socio-economic status <POS> <T> Stigma of embarassment <H> Stigma of embarassment <POS> <T> Denial of problem <E>,Socioeconomic status increases the stigma of embarrassment and denial of problem.
<S> <H> Treatment of parental mental health issue <NEG> <T> Parental risk factors <H> Parental risk factors <POS> <T> ACEs <E>,Treatment of parental mental health issue reduces parental risk factors and also the chances of ACEs.
<S> <H> Separation from parents <POS> <T> ACEs <E>,Children who have faced separation from parents are more likely to face ACEs.
