Filename,Subgraph,Sentence
Participant 19.edges.csv,<S> <H> water flow <POS> <T> lake <H> drought <NEG> <T> lake <H> channeling of other rivers <NEG> <T> lake <H> channeling of other rivers <NEG> <T> other lakes <H> water siphoning <NEG> <T> water flow <H> forests <POS> <T> water flow <H> river damming <NEG> <T> water flow <E>,"The factors behind this seem similar to those behind the shrinking of the Dead Sea. I believe that the main contributor is a reduction of water flow into the lake: primary sources of inflow to the body of water are siphoned and/or dammed, and forests that helped route water into lake sources have shrunk. Of course, drought also contributes to lake shrinkage, but I doubt they are truly the primary cause, given the number of similar cases that have been surfacing worldwide due to similar factors. The impact of major factors (forest shrinkage, river damming, and water siphoning) should be assessed, along with a detailed analysis of the cost and impact of taking corrective action (re-planting forests as possible, destroying dams or increasing flow past dams, and altering pumping plans/systems). Actions should then be taken in the order of cost-efficiency and feasibility. Channeling of other rivers into the lake could help, but could also cause a similar slew of problems for whatever water source those rivers had been feeding, so the side effects should also be taken into consideration."
Participant 2.edges.csv,<S> <H> regulation <POS> <T> lake <E>,"I think there were several things that went wrong with Lake Urmia. I believe several people might have attempted to fix the Lake but several of the actions were short term instead of long term. Also, it appears that they didn't seek outside expertise from ecologists. There needs to be more regulation of Lake Urmia. Also, consultants should be brought in to help the future of the Lake."
Participant 20.edges.csv,<S> <H> evaporation of water <NEG> <T> animal inhabitants <H> technology <POS> <T> destruction of nature <H> tree <POS> <T> ecofriendly environment <H> ecofriendly environment <NEG> <T> evaporation of water <H> technology <POS> <T> evaporation of water <H> development of cities <NEG> <T> trees <H> development of cities <NEG> <T> water <E>,"I think the problem was that, as technology developed, it led to destruction of nature and caused excessive evaporation of water. Cities stole trees and water for their development and didn't really think about Lake Urmia's condition. Now everyone can obviously see what has changed. Plant more trees and create an eco-friendly environment that will stop water evaporation and bring back animal inhabitants."
Participant 21.edges.csv,<S> <H> need for water <POS> <T> dam <H> need for land <POS> <T> dam <H> dam <POS> <T> destroy natural resources <H> dam <NEG> <T> inflow of water <H> water flow to the lake <NEG> <T> lake shrinking <H> people <POS> <T> need for land <H> people <POS> <T> need for water <H> agricultural land <NEG> <T> water <H> inflow of water <POS> <T> water flow to the lake <H> destroy natural resources <NEG> <T> water flow to the lake <E>,"More population need more water and land. They will increase construction of dams, this will decrease the inflow of water to the lake. Also, they will destroy more of the natural forests that feed the stable inflow of water into the lake. These will result in the shrinkage of water reservoirs in the lake Urmia. The only natural way to restore the lake is to increase the inflow. These can be done by planting trees in Zagros mountains. Also, reducing the agriculture lands that consume the water of the rivers that go into the lake."
Participant 22.edges.csv,<S> <H> other water supply <POS> <T> lake <H> global warming <NEG> <T> lake <H> agriculture of forestry <NEG> <T> lake <H> relocate families <POS> <T> lake <H> deterence of major water supplier <NEG> <T> lake <H> influx of people <NEG> <T> lake <H> construction <NEG> <T> lake <H> other means <POS> <T> tourism <E>,"A combination of issues are causing problems in Lake Urmia. Firstly, there's global warming. Global warming has become a bigger and bigger issue over the years and its side effects are showing up in multiple ways, this lake is more than likely one of them. On top of that, the next big issue for problems is the deterrence of a major water supplier. Next we have had an influx of people, construction and changes in agriculture of forestry near the lake over the years. I'm not sure it can be saved at this point. One option is to see if the city can find another water supply that wouldn't cause more adverse damages. I dont think its feasible to relocate families, it is not their fault they were allowed to move there and it in turn affected Lake Urmia. The town should consider other means for attracting tourists."
Participant 23.edges.csv,<S> <H> agricultural land <POS> <T> cutting of forests <H> population <POS> <T> demand <H> green cover <POS> <T> flow of feeding water <H> cutting of forests <NEG> <T> lake <H> mismanaged water resources <NEG> <T> lake <H> demand <NEG> <T> lake <H> construction of dams <NEG> <T> lake <H> manage the resources <POS> <T> lake <E>,"Lake Urmia degraded in capacity and quality due to the certain aspects of urbanization in the surrounding region:  
- Cutting of forests for agricultural land
- Construction of dams and mismanaged water resources
-Growing demand of the ever increasing population. A detailed study inquiring into why the lake has shrunk will tell us about what went wrong. To protect it, a strategy to manage the resources well is needed. Building the lost green cover over the area will help regulate the flow of feeding rivers."
Participant 24.edges.csv,<S> <H> zoning restrictions <NEG> <T> deforestation <H> zoning restrictions <NEG> <T> development around the lake <H> zoning restrictions <NEG> <T> draining of the streams that feed into the lake <H> funds for conservation efforts <POS> <T> educate citizens <H> climate factors <POS> <T> evaporation <H> tax from harming the lake <POS> <T> funds for conservation efforts <H> educate citizens <NEG> <T> lake harm <H> human intervention <POS> <T> lake harm <H> lake harm <POS> <T> tax from harming the lake <E>,"One possible explanation is that lake preservation was not considered as a primary objective of the development strategy in the region - either because its fragility was not understood or because its preservation was not deemed important enough - so human development harmed the lake's ability to thrive. The lake's evaporation will likely be attributed to climate factors (eg the drought), but it is likely that the human development harmed the lake's ability to withstand those factors. It is likely unrealistic to destroy dams or force people to abandon their homes. Instead, zoning restrictions should be created to prevent further development around the lake, further draining of streams that feed into the lake, and further deforestation of the surrounding area. The government can also add taxes to decentivise activities that harm the lake - such as using water from the streams that feed into the lake or driving over the road that crosses the lake. The tax revenue can also be used to fund conservation efforts, educate local citizens about the lake's value, etc."
Participant 25.edges.csv,<S> <H> population explosion <NEG> <T> lake <H> deforestation <NEG> <T> lake <H> demand for water <NEG> <T> lake <H> the lake urmia biosphere reserve <POS> <T> lake <H> construction of pipe transfer projects <NEG> <T> the lake urmia biosphere reserve <H> construction of roads <NEG> <T> the lake urmia biosphere reserve <H> construction of infrastructure <NEG> <T> the lake urmia biosphere reserve <H> construction of dams <NEG> <T> the lake urmia biosphere reserve <H> construction of bridges <NEG> <T> the lake urmia biosphere reserve <E>,"Lake Urmia is going through a phase of desiccation similar to different water bodies around the world in the contemporary scenario like Aral sea etc. This is due to a diverse range of factors like exponential increase in demand for water(or resources), population explosion, Zagros deforestation, human intervention in the ecology like the construction of infrastructure like roads, dams, pipe transfer projects, bridges etc. which has secluded the Lake Urmia Biosphere Reserve from the natural rejuvenation sources of water like rivers and waters leading to its swift desiccation. For the protection of Lake Urmia Biosphere Reserve, both the Govt. and the residing population has to step in. Following are some ideas that can help save Lake Urmia BR-
1. A dedicated Lake Urmia Biosphere Reserve Protection Board needs to be set-up.
2. Board members should include geographical/geological experts, environmentalists, climatologists, anthropologists, Govt. officials and some members of the local population.
3. A framework needs to be developed for at least the forthcoming half a decade on how to approach this save.
4. Identify the factors which are significantly affecting this reserve & implement restrictions asap to ensure any further damage to the ecosystem.
5. Spreading the word in the region as well the adjoining areas about the importance of this ecosystem through seminars and other present means of mass communication.
6. Broadcasting the examples from around the world where such ecosystems have been preserved by the active human intervention, thereby, projecting optimism and enthusiasm around the region."
Participant 26.edges.csv,<S> <H> unpredictability of future <POS> <T> difficulty of finding a good policy <H> human intervention <NEG> <T> ecosystem <H> global environmental context <NEG> <T> lake <H> competing interests <NEG> <T> lake <H> lake <POS> <T> nonhuman living creatures <H> rerouting feeder water <POS> <T> people in area <H> emotionally invested conversation <POS> <T> people polarization <H> people in area <POS> <T> rerouting feeder water <H> people and animals <NEG> <T> water <E>,"Super complex problem. The situation of Lake Urmia seems to have multiple layers of context surrounding it, and- compounding the problem even further- this is likely all being impacted by a global environmental context which is even harder to analyze (I'll leave that to the brilliant climate change PhDs, but I do follow some of the research in this space).
But- isolating on the Lake Urma issue, it seems like the ""root"" of the issue are the competing interests. Everybody [people and animals] needs water. Water is life. And there's clearly been some human intervention that has disrupted the ecosystem. But the tricky part is- again- that water is life. It sounds like the folks in the city where the feeder river (to lake Urma) is being rerouted really needed the water. Fresh water supplies in urban areas are a huge area. And yet, rerouting the river to this population may significantly hurt the population in Lake Urma area. How do officials decide who to prioritize? Whose needs to prioritize? (Where who, in this case, also includes all of the non-human living creatures that depend on the lake). Essentially by making these decisions, officials are saying ""you matter"" to one group and ""you don't"" to another. It's not hard then to imagine why folks have emotional responses to this. It's their livelihood, their survival, and also their legacy- many families probably lived at this lake for multiple generations. And yet, there are other legitimate needs for the lake. How does one reconcile these deeply rooted issues? (and here it is worth noting that once folks get emotionally invested, conversations can quickly become more and more polarizing, making it hard to find a ""compromise"" solution. 
Another tricky part of weighing these options, for the officials, is predicting the future [unpredictability of future makes fidning a good policy difficult]. Folks can make best guesses- but even the best trained analyst can't always predict the consequences of their plans. I'd say there is a little bit of that going on in the Lake Urma case too. I think an immediate step is to try to get everyone at the same table. All stakeholders. Otherwise, consequences of any proposed solution moving forward could be overlooked. Doesn't seem like there is going to a perfect solution here- so I think the best hope is to gather folks--all folks whose voices need to be heard in this-- and come up with a solution that is messy and imperfect but also collaborative and forward-looking, considering future implications for actions taken in the present. "
Participant 27.edges.csv,<S> <H> sense of responsibility among people <POS> <T> finding a solution <H> drought <NEG> <T> lake <H> deforestation <NEG> <T> lake <H> relocation of people <POS> <T> lake <H> population <NEG> <T> lake <H> trust <POS> <T> relocation of people <H> understanding of the problem <POS> <T> sense of responsibility among people <H> communication <POS> <T> trust <H> enlightening people <POS> <T> understanding of the problem <H> consulting with experts <POS> <T> understanding of the problem <H> consulting with people <POS> <T> understanding of the problem <E>,"Lake Urmia is suffering from problems due to natural and man-made causes. On one hand, drought has affected the lake. On the other hand, an increase in population, deforestation and other factors involving people in the area have resulted in a decline in the lake's water level. First of all, the people in the areas near lake Urmia should be consulted so that they can share their perspectives on what is happening to the lake. Exerts who have already worked on this project need to be consulted to find out what they have already learned form their attempts including the successes and failures of such endeavors. The people living in the area need to be enlightened about the role of human activities in the poor conditions of the lake and their collaboration sought in how to determine and implement potential solutions. These efforts will foster a deeper understanding of the problem and promote a sense of responsibility among the people for finding a solution. Some of the solutions already discussed in the text like funding relocation of people, but people need to be able to trust the government and other stakeholders. Proper communication will be very important in achieving this goal. "
Participant 28.edges.csv,<S> <H> deforestation <POS> <T> agricultural land <H> replanting trees <NEG> <T> agricultural land <H> finding balance of forest and agricultural land <POS> <T> balance of water and space for growth <H> agricultural land <POS> <T> feed <H> pumping water <NEG> <T> lake <H> climate change (drought) <NEG> <T> lake <H> regulate water flow <POS> <T> lake <H> forests <POS> <T> regulate water flow <H> agricultural land <POS> <T> water used for agriculture <H> time invested <POS> <T> finding balance of forest and agricultural land <H> expertise invested <POS> <T> finding balance of forest and agricultural land <E>,"I think lake Urmia is suffering from its problems because environmental concerns were not a top priority when developing the area (e.g., pumping water from the feeder river to the city and cutting down forests for agriculture that would otherwise regulate water flow). I think these actions, combined with global climate change/drought, have contributed to the lake shrinking. If they have 5 million dollars to spend, maybe they could try to tap into a different water source than the river with a pipeline. Some things like global climate change may be out of the control of the immediate people who would seek to make change in the lake. I would suggest reducing the amount of water being taken from the feeder river but this may not be an option if that is the city's water supply. Likewise, if they reduce agriculture land by replanting trees they may not have enough food (but on the flip side, damaging the lake by deforesting means less water for agriculture too). Maybe the government should invest time/expertise in finding an optimal balance of forest land and agriculture land (to balance water and space for growing) while also looking into alternative water for the city if possible. "
Participant 29.edges.csv,<S> <H> need for water and food <NEG> <T> forest/agriculture ratio <H> people <POS> <T> need for water and food <H> lake <POS> <T> area inhabitability <H> forest/agriculture ratio <NEG> <T> dam <H> lake <NEG> <T> disease <H> water flow <POS> <T> lake <H> reconstruction of forest and water <POS> <T> lake <H> lake <NEG> <T> people <H> disease <NEG> <T> people <H> unemployment <NEG> <T> people <H> quality of land <POS> <T> people <H> lake <POS> <T> quality of land <H> lake <POS> <T> unemployment <H> dam <NEG> <T> water flow <E>,"From my perspective, what happened in the case of Lake Urmia is another example of the limit to growth structure. Lake Urmia has attracted so many people to the area and made a naturally prosperous land over the years. On the other hand, the excessive growth in the population has increased their share of food and water. Therefore, answering the need of this population has distrusted the balance in the ecosystem through transforming forest to agricultural lands and constructing dams over the water flow that feeds the Lake. These changes have caused the lake to shrink and the ensuing problems. Eventually, many diseases, unemployment, and poor quality of land in terms of agriculture have increased to the extent that the reinforcing spiral has turned around and run in reverse causing people to leave the area. One policy should be to control the population of the region and provide them with facilities elsewhere. This area can only host a limited number of people based on the available resources. The forest and water flow to the lake should be reconstructed. This can gradually increase the level of the Lake and make the area inhabitable."
Participant 3.edges.csv,<S> <H> need for food <POS> <T> natural land being destroyed <H> people <POS> <T> need for food <E>,"I consider base on the technology we have right now, there will have a conflict between development the area and the natural resource protection. So if people want to development more land to feed more population, it will be inevitable to destroy the natural. Move the population out of the Lake Urmia area."
Participant 30.edges.csv,<S> <H> forest to agriculture ratio <NEG> <T> demand for water <H> temperature in the area <POS> <T> evaporation <H> construction of pipelines <NEG> <T> lake <H> water usage in agriculture <NEG> <T> lake <H> construction of a raised road <POS> <T> lake <H> measures for water restoration <POS> <T> lake <H> water usage in household <NEG> <T> lake <H> construction of dams <NEG> <T> lake <H> proper planning <POS> <T> lake <H> evaporation <NEG> <T> lake <H> trees <POS> <T> natural flow of water <H> global warming <POS> <T> temperature in the area <H> population <POS> <T> water usage in agriculture <H> population <POS> <T> water usage in household <E>,"Natural climate change and human influence were the major contributors for the shrinking of Lake Urmia. Specifically here are the following reasons why Urmia is suffering from its problems: 
- Global warming, causing an overall rise of temperature in the area and hence increase in evaporation rates causing water level to dry up quickly.
- Increase in water usage in agriculture, household, etc. from Lake Urmia due to the rise of the population to three times. In addition no measure for water restoration were mentioned, causing the water level to shrink through time. 
- Construction of dams and pipelines without proper planning could have caused disruption in the water level and volume. 
- Construction of a raised road across the lake without proper planning could have also caused disruption in the water system of Lake Urmia.
- The shift of the forests to the agricultural lands [NG: lower have caused an increase in demand for water in the area to maintain the ecosystem, hence the demand for water to maintain the agriculture have also increased. Both long term and short term plans should be implemented to protect Lake Urmia. 
Short term: 
- An expert team should be formed immediately to investigate the problems around Lake Urmia. 
- Find the root causes and prioritize on solving the problems both short term and long term. 
- Find possible routes for channeling water from other river sources. 
- Look into the dam construction zone and destroy the least effective ones if needed. 
- Find other water sources on temporary basis to help the population for agriculture and household. For example- looking into the groundwater availability, pumping water from other river sources, rain water reservoirs, etc. 
Long term: 
- Implementation of dams in proper zones with plans of sustainability. 
- No further implementation of roads across the lake.
- If other water sources are unavailable, relocation of people living around the lake has to be ensured. 
-  Build more trees around the lake area to ensure natural flow of water from river sources to the lake. "
Participant 4.edges.csv,<S> <H> pumping water for agricultural aims <NEG> <T> lake <H> population <NEG> <T> lake <E>,"I think the most effective factor is that they started thinking about it after the problem. Saving the lake was easier at first than trying to recover it after the damage. Maybe monitoring factors that has a explicit effect like ""growing population"", and ""pumping water for agriculture aims"" should first be analysed and the results should be monitored after implementing new ways.  I am not a specialist in environment preserving. However, my general idea is to analyse every action before implementing it and monitoring after that. Policy makers should have strong communication with environment specialists before making any decision. "
Participant 5.edges.csv,<S> <H> feeder rivers <POS> <T> lake <H> people <NEG> <T> lake water <H> lake water <NEG> <T> people getting mad <E>,"If the feeder rivers to the lake are being rerouted and not going to the lake, then the lake is going to shrink.  This sounds like a loose-loose situation.  The facts are presented in a way that lead me to believe that people live there and they need water.  But when the water gets used up, then they get mad at the government for not doing anything for that lake.  I would need to do more of my own research about the area to really know why Urmia is suffering. At this point, the lake needs more water. the government is going to have to make a choice-lake or water for surrounding areas.  Or they can try to figure out how to/where to get water to use from other sources, instead of the lake."
Participant 6.edges.csv,<S> <H> people <POS> <T> development <H> development <POS> <T> drought and other threats <H> drought and other threats <NEG> <T> people <H> dam <NEG> <T> water from the lake <E>,"More people in the area leads to more development. As described above this development is clearly causing the drought and multiple threats to the lake that now affect the people. I'm not sure if the damage is reversible by moving people out (I think I'd need more explicit information on that), but this could be a good starting point. You'd also need to destroy whatever dams or systems are removing water from the lake in a negative way. "
Participant 7.edges.csv,<S> <H> population rise <NEG> <T> lake <H> mismanagement of water resources <NEG> <T> lake <H> road <NEG> <T> lake <H> birds <NEG> <T> lake <E>,"From the passage, it seems that a mix of environmental and man-made reasons have mostly caused Lake Urmia to dry out. The stop over of various birds migrating from Russia could be one of the main causes. Also, the construction of raised road, the population rise in the last 4 decades and mismanagement of water resources could be heavy contributors to the desiccation of the lake. The area of and around the lake should be carefully maintained while also connecting the town with more irrigation channels which seemed to be non-existent before the drought hit the region."
Participant 8.edges.csv,<S> <H> drought <POS> <T> evaporation of water <H> climate change <POS> <T> evaporation of water <H> population <NEG> <T> lake <H> poor management of resources <NEG> <T> lake <E>,"The main issue is the ""lack"" or decline in water levels of the lake. Evaporation of the water might ""hint"" a climate change issue, the same applies with drought. Other reasons pinpoint to man related causes such as poor management of resources and elevated population. Change. Especially in water resource management and administration."
Participant 9.edges.csv,<S> <H> urbanization (people) <NEG> <T> lake <H> rivers feeding the lake <POS> <T> lake <H> punishment <NEG> <T> littering <H> public awareness <NEG> <T> littering <H> education <NEG> <T> littering <E>,"The urbanization of the area is one of the primary reasons. It has been stated that the population  tripled which means the lake must have been exploited more.  Also, as the rivers that fed the lake shrank, the lake also became devoid of water and the water scarcity in the region increased. Thus this cycle continued and the cumulatively resulted in the destruction of the lake. The public should be made aware of the situation and the impact it will have on them. It is not enough to just educate them, but effort should be made to facilitate them to protect the lake. For instance, littering around the lake should be made a punishable offence. Other proposals that need not involve the public should be well thought through, for example, relocation of the population around the lake, if intended to be executed, should be critically analyzed regarding the level to which the lake will be restored and if its worth the effort."
